Date,Auto,Energy,FMCG,Infra,IT,Media,Metal,Pharma,Realty,Banking
2024-12-03,28.81770441315886,23.27137696925652,22.785802869424366,32.701219559180736,80.31216410033282,70.1313410068302,24.550604938441683,32.3408613681213,54.62340894934174,62.36810247311543
2024-12-04,24.183562661423046,22.066160808801776,24.540870485365037,33.783712733503826,84.40425278308305,79.44906284696377,28.555797182745707,35.38124807490092,62.32386889213291,67.64712147930626
2024-12-05,32.373844962062634,29.880537232920606,26.138322148565702,43.70751355937371,89.39406007938109,84.31957922047931,37.24412390457773,38.4589710368197,66.96648051172377,71.75726052213294
2024-12-06,38.21592801318243,31.1854554501936,26.78109000492528,47.99200531670786,83.23165086771131,82.1950996829743,41.90156209645951,44.26124159906974,66.60535338405153,71.04414858902668
2024-12-09,37.21285691491137,28.49541693280334,29.39015924049019,48.21431473204866,84.47384223536986,76.90740293789491,44.629919603154484,40.18595698831025,69.4883818552131,68.12469993039846
2024-12-10,43.66105740647467,33.24812046287847,24.190761494884185,53.452825588704165,86.61787449136436,80.03624314067727,51.77162086297527,38.506191530605896,74.68485256500487,73.64528405559578
2024-12-11,43.23220606069113,31.619043340301374,24.307502618343445,52.68177103273991,86.98747200817705,74.03039384016228,44.789510842597714,33.99609442283326,73.04934663737849,69.41785740080289
2024-12-12,47.255766550923425,27.60875170772027,20.486121200309977,48.876141569170265,91.24798826670192,67.45759917146711,44.82619762531988,37.882352394769335,70.6362729372629,61.60597388933435
2024-12-13,47.93479518047664,28.860924116145853,20.920255458313957,53.56901342441853,94.95558641897671,59.189465266272265,42.31075182092968,39.74229803662727,69.99950790576361,66.89626853039292
2024-12-16,49.32763599441169,26.461553418897886,23.526311691608377,49.15175933356164,100.0,58.28652899756088,39.523577793837894,34.90484329543353,77.04827119340102,69.34407900121862
2024-12-17,40.94667871263772,18.939295552358328,21.518055005914764,39.14781770437161,99.20974105414972,58.20073639833466,32.95564392664265,30.81829173006198,75.51626455589337,64.5208566137155
2024-12-18,40.8320654944472,23.797385643380238,26.408241240016224,44.83422941090457,99.97669877269608,57.06846922048698,33.14942167526498,38.02836445079615,80.27429797322802,61.28120913004962
2024-12-19,36.076205074432636,18.912810034739024,27.99150831334566,43.07144790959639,97.47426215342709,56.353816417620095,22.525329589717284,47.16191257200033,77.93557552115574,52.080197612661074
2024-12-20,26.8765217269771,8.134758816900437,25.21843799973777,26.47109453509615,82.59424811823294,50.11345799406916,13.614783915413875,41.067488721085255,65.08608638041939,48.716041110007666
2024-12-23,29.27790325874156,14.150600737294946,32.574358871476726,32.32827640505251,83.35663306613542,48.28724711061292,23.685531195364206,47.84072361189319,70.37463816244951,53.84962453952041
2024-12-24,31.34087294751658,18.888041444538068,33.99163180758835,35.74406652443715,80.20433432144188,53.01780642489881,23.887462056321993,47.48591398748852,76.12366959276,55.709634509303775
2024-12-26,35.09708279619567,20.930805466677345,35.71397587548991,40.212819392834184,76.2658308122898,51.95166870464851,26.025193180590417,53.97565940596864,76.26919764357598,52.104915820435224
2024-12-27,44.12904120460946,23.38327734879413,43.45412437388358,41.36980849197554,75.40607646328,53.45778681454105,26.11705464063993,61.965573702546365,73.80631671423224,56.60734633433733
2024-12-30,45.68220155033691,26.193429061570956,46.42289883764253,43.190311175847086,77.63718707641428,53.48531688608785,29.51231339482005,72.15742407008696,76.29121500279302,60.43135020030375
2024-12-31,44.25893207442939,30.512130932582675,54.90605459812707,45.41440251050449,73.61793296055383,46.99989382228264,31.078119971203975,76.1590412347291,73.90658424874758,58.86726260665633
2025-01-01,41.446103622935084,32.67639568054499,48.725970647428454,45.6228541276943,78.94630677609354,49.992929392112195,24.64782957422359,80.3865120001509,72.19783162306945,57.72094861280724
2025-01-02,53.648435829870245,38.38258077352452,54.11826663714269,54.82735847372556,82.17903131951817,44.414523921192036,28.854907599286754,76.29051462984243,68.67348809938922,57.696655090136
2025-01-03,56.687726510366964,48.0359611630577,61.39492798373779,58.047898467922685,76.92740798990695,55.702920566840255,35.588808255765834,71.24562042084932,64.96173992601094,54.53883967591246
2025-01-06,47.014841604466966,32.539526251488724,46.42616859617655,36.58899872165215,71.32317012370076,51.33961454820005,24.036387875839093,66.9285490029045,53.722989684365075,46.137050400209986
2025-01-07,45.64970895236218,33.30608328054173,44.6059948729585,31.31363222090473,68.10017712873818,51.209871751318545,27.490779428815237,66.39658716034016,51.65618489774669,41.945592967194
2025-01-08,48.28001491579485,35.91643712702094,42.4373037349311,34.689052634644895,66.97078282279007,46.98477945004442,24.25562005449903,66.34279574694955,51.19128035745988,38.934593232413214
2025-01-09,46.74795258805966,24.119120411116192,47.493979951894126,27.19449402003579,64.78919589605599,43.03019380022254,18.576384919393988,66.51291380456146,45.99268253497194,36.79926357338711
2025-01-10,46.78923985960249,18.20943630743685,44.61106464156612,24.002536339294036,78.81386245662945,31.266433083094846,13.539696397383446,58.03576870855396,39.011428634991,31.42387577880028
2025-01-13,35.80591732294078,3.362157660521664,39.6428872095348,5.350432951081442,75.81962430106574,16.607224086045306,0.9108307313649937,40.803289964839706,26.91091020247786,27.93909434972321
2025-01-14,40.01017107956054,13.249505519422526,32.343270987574705,7.812334260306016,68.31536777295365,22.407484803219777,10.677421076670463,43.03166655838784,22.52179328268028,34.07680587596425
2025-01-15,36.516964698411684,12.643111481922276,34.46801522860305,8.684978785407175,69.53168498006104,12.129319503417623,7.839603087622048,39.00354926724909,25.630018045270592,30.797399709072454
2025-01-16,41.158122783485645,20.03073160456868,34.84467393845932,17.213521302851156,67.17335546924839,11.343435798919959,13.682912284811824,37.92717806166318,22.822134326910273,31.133198687847845
2025-01-17,39.41036247508054,24.505851285316545,38.7073501654313,23.670128205520548,56.52772947453012,13.118141038354997,16.95836882415076,41.811326744498054,27.26664200171681,24.328873763511183
2025-01-20,33.31312148129474,27.16845274665968,35.68087915689313,25.579391517442946,57.09530604762833,15.84493354128906,16.03672720550735,43.713180294748945,28.183170657491658,30.757529335898653
2025-01-21,31.527228255215583,22.84421600888613,47.180459912568686,17.411302766291332,54.20299920928483,18.114882728847913,12.228437580867201,41.09176145599824,19.22182106319677,26.814123114564236
