Date,Sector,Daily_Return,Rolling_30,Rolling_60,Rolling_90,Momentum,Relative_Strength,Volatility
2024-07-24,Auto,,,,,,,1.3016454034203468
2024-07-24,Energy,,,,,,,1.154938569901908
2024-07-24,FMCG,,,,,,,0.8783298354882301
2024-07-24,Infra,,,,,,,1.0007594964175097
2024-07-24,IT,,,,,,,1.4692793984869545
2024-07-24,Media,,,,,,,1.501475484148305
2024-07-24,Metal,,,,,,,1.4716196024047945
2024-07-24,Pharma,,,,,,,0.983134343028794
2024-07-24,Realty,,,,,,,1.7400805217040278
2024-07-24,Banking,,,,,,,0.9949850623136581
2024-07-24,NIFTY50,,,,,,,0.8435028063871604
2024-07-25,Auto,1.2576482258307653,,,,,,1.3016454034203468
2024-07-25,Energy,1.2689888655136095,,,,,,1.154938569901908
2024-07-25,FMCG,-0.0689127403889378,,,,,,0.8783298354882301
2024-07-25,Infra,0.7848385310974537,,,,,,1.0007594964175097
2024-07-25,IT,-0.14844997099651147,,,,,,1.4692793984869545
2024-07-25,Media,0.8073862468435777,,,,,,1.501475484148305
2024-07-25,Metal,-1.2857284667090019,,,,,,1.4716196024047945
2024-07-25,Pharma,0.9422005404500666,,,,,,0.983134343028794
2024-07-25,Realty,-0.8284872621887374,,,,,,1.7400805217040278
2024-07-25,Banking,-0.8345187754545291,,,,,,0.9949850623136581
2024-07-25,NIFTY50,-0.030312698404566518,,,,,,0.8435028063871604
2024-07-26,Auto,2.43236081325775,,,,,,1.3016454034203468
2024-07-26,Energy,1.0942172288981533,,,,,,1.154938569901908
2024-07-26,FMCG,0.9483513405321942,,,,,,0.8783298354882301
2024-07-26,Infra,2.0047801136050314,,,,,,1.0007594964175097
2024-07-26,IT,2.3014356642658385,,,,,,1.4692793984869545
2024-07-26,Media,1.6777641579346136,,,,,,1.501475484148305
2024-07-26,Metal,3.0104983671294328,,,,,,1.4716196024047945
2024-07-26,Pharma,2.357677427092475,,,,,,0.983134343028794
2024-07-26,Realty,1.1545547575912751,,,,,,1.7400805217040278
2024-07-26,Banking,0.8001753211662743,,,,,,0.9949850623136581
2024-07-26,NIFTY50,1.756732976027453,,,,,,0.8435028063871604
2024-07-29,Auto,0.6698928704131246,,,,,,1.3016454034203468
2024-07-29,Energy,0.4634743592581314,,,,,,1.154938569901908
2024-07-29,FMCG,-0.34266432017340254,,,,,,0.8783298354882301
2024-07-29,Infra,0.5473584751527039,,,,,,1.0007594964175097
2024-07-29,IT,-0.38374856842604554,,,,,,1.4692793984869545
2024-07-29,Media,1.8018523471681869,,,,,,1.501475484148305
2024-07-29,Metal,0.2854533708369411,,,,,,1.4716196024047945
2024-07-29,Pharma,0.33258935372320053,,,,,,0.983134343028794
2024-07-29,Realty,1.4290376342204203,,,,,,1.7400805217040278
2024-07-29,Banking,0.21502824868222525,,,,,,0.9949850623136581
2024-07-29,NIFTY50,0.00503324972633834,,,,,,0.8435028063871604
2024-07-30,Auto,0.5842549743932057,,,,,,1.3016454034203468
2024-07-30,Energy,1.0811841795374866,,,,,,1.154938569901908
2024-07-30,FMCG,-1.1115161602309853,,,,,,0.8783298354882301
2024-07-30,Infra,0.21064870827791626,,,,,,1.0007594964175097
2024-07-30,IT,-0.10717758732915472,,,,,,1.4692793984869545
2024-07-30,Media,0.6601808215385807,,,,,,1.501475484148305
